,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1974-75,21,MIL,NBA,,10,,8,10,,,,,,,,,24,
1975-76,22,MIL,NBA,,10,,11,11,,,,,,,,,28,
1976-77,23,TOT,NBA,,10,,8,12,,,,,,,,,27,
1976-77,23,MIL,NBA,,10,,8,9,,,,,,,,,27,
1976-77,23,CLE,NBA,,9,17,5,12,2,5,5,9,2,2,,6,21,
1977-78,24,BUF,NBA,,6,,4,5,,,,,,,,,16,
Career,,,,,10,,11,12,,,,,,,,,28,
3 Seasons,,MIL,NBA,,10,,11,11,,,,,,,,,28,
1 Season,,CLE,NBA,,9,17,5,12,2,5,5,9,2,2,,6,21,
1 Season,,BUF,NBA,,6,,4,5,,,,,,,,,16,
