Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Gary Brokaw,,1.9,1.6,1.6,0.1
Med Park,91.3,1.9,1.8,1.6,0.4
Lee Mayberry,89.7,2.1,1.8,1.6,0.4
Mike Bratz,89.3,2.1,1.7,1.5,0.4
Will Bynum,87.8,1.9,1.5,1.3,-0.1
Caris LeVert,86.7,2.3,1.8,1.7,NA
Juan Dixon,85.6,2,1.4,1.2,0.1
Jonathon Simmons,85.3,2,2,1.9,0.3
Keith Bogans,84.1,2.3,1.7,1.3,0.1
John Salmons,83.1,2.1,1.7,1.4,0.6
Shane Larkin,82.8,1.7,1.4,1.4,-0.1
