Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Gary Brokaw,,1.9,1.6,1.6,0.1,NA,NA
Caris LeVert,86.7,2.3,1.8,1.7,NA,NA,NA
Daequan Cook,86.2,2.2,1.6,1.6,0.1,-0.2,-0.4
Jonathon Simmons,85.3,2,2,1.9,0.3,NA,NA
Shane Larkin,82.8,1.7,1.4,1.4,-0.1,NA,NA
Tom Garrick,81.6,2.5,1.8,1.4,0.2,NA,NA
Kenny Higgs,79.2,2.2,1.5,1,NA,NA,NA
Steven Kramer,78.9,1.9,1.2,1.1,NA,NA,NA
Joe Hassett,78.2,2,1.6,1.4,0.9,0.5,0
Justin Anderson,77.7,1.9,1.2,1.1,0.4,NA,NA
Dirk Minniefield,75.9,1.9,1.1,1.1,NA,NA,NA
