Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1974-75,21,MIL,NBA,SG,73,1639,12.2,0.499,0.358,2.4,6.8,4.7,18.5,0.9,0.6,NA,NA,NA,0.8,0.8,1.6,0.047,NA,-1.6,-1.1,-2.6,-0.3
1975-76,22,MIL,NBA,SG,75,1468,14.9,0.511,0.437,1.9,6.8,4.4,23.6,1.2,0.6,NA,NA,NA,1.3,0.7,1.9,0.064,NA,-0.2,-1.3,-1.6,0.2
1976-77,23,TOT,NBA,SG,80,1487,13.5,0.49,0.388,1.5,7.1,4.2,21,1.1,1.3,NA,NA,NA,1,0.6,1.6,0.052,NA,-0.7,-0.9,-1.6,0.1
1976-77,23,MIL,NBA,SG,41,891,11.7,0.475,0.423,1.2,6.3,3.7,15.9,1.1,1.3,NA,NA,NA,0.2,0.2,0.3,0.019,NA,-1.5,-1.3,-2.8,-0.2
1976-77,23,CLE,NBA,SG,39,596,16.3,0.511,0.342,2,8.3,5,28.7,1.1,1.2,NA,NA,NA,0.8,0.5,1.3,0.101,NA,0.5,-0.4,0.1,0.3
1977-78,24,BUF,NBA,SG,13,130,13.3,0.504,0.558,2.5,7.4,5,21.3,1.1,2,18.3,20.1,NA,0.1,0.1,0.1,0.053,NA,-1.4,-0.2,-1.6,0.1
Career,NA,,NBA,,241,4724,13.5,0.5,0.399,1.9,6.9,4.5,21,1,0.8,18.3,20.1,NA,3.1,2.2,5.3,0.054,NA,-0.9,-1.1,-2,0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,MIL,NBA,,189,3998,13.1,0.498,0.404,1.9,6.7,4.4,19.8,1,0.7,NA,NA,NA,2.3,1.6,3.9,0.047,NA,-1.1,-1.2,-2.3,-0.3
1 season,NA,CLE,NBA,,39,596,16.3,0.511,0.342,2,8.3,5,28.7,1.1,1.2,NA,NA,NA,0.8,0.5,1.3,0.101,NA,0.5,-0.4,0.1,0.3
1 season,NA,BUF,NBA,,13,130,13.3,0.504,0.558,2.5,7.4,5,21.3,1.1,2,18.3,20.1,NA,0.1,0.1,0.1,0.053,NA,-1.4,-0.2,-1.6,0.1
