Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,21,MIL,NBA,SG,73,NA,1639,234,514,0.455,126,184,0.685,36,111,147,221,31,18,NA,176,594
1975-76,22,MIL,NBA,SG,75,NA,1468,237,519,0.457,159,227,0.7,26,99,125,246,37,17,NA,138,633
1976-77,23,TOT,NBA,SG,80,NA,1487,242,564,0.429,163,219,0.744,22,101,123,228,36,36,NA,164,647
1976-77,23,MIL,NBA,SG,41,NA,891,130,324,0.401,105,137,0.766,10,54,64,111,22,23,NA,85,365
1976-77,23,CLE,NBA,SG,39,NA,596,112,240,0.467,58,82,0.707,12,47,59,117,14,13,NA,79,282
1977-78,24,BUF,NBA,SG,13,NA,130,18,43,0.419,18,24,0.75,3,9,12,20,3,5,12,11,54
Career,NA,,NBA,,241,NA,4724,731,1640,0.446,466,654,0.713,87,320,407,715,107,76,12,489,1928
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,MIL,NBA,,189,NA,3998,601,1357,0.443,390,548,0.712,72,264,336,578,90,58,NA,399,1592
1 season,NA,CLE,NBA,,39,NA,596,112,240,0.467,58,82,0.707,12,47,59,117,14,13,NA,79,282
1 season,NA,BUF,NBA,,13,NA,130,18,43,0.419,18,24,0.75,3,9,12,20,3,5,12,11,54
