Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Anthony Roberson,,0.2,0.2,0.1,NA,NA
Randy Woods,83.8,0.3,0.2,0.1,0.1,NA
Drew Barry,81.9,0.3,0.2,0.1,NA,NA
Lance Blanks,69.9,0.4,0.2,0.1,NA,NA
Mike Price,64.6,0.2,0.2,0.1,NA,NA
Jorge Gutiérrez,59.4,0.3,0.3,0.2,NA,NA
Kevin Pritchard,58.9,0.2,0.2,0.2,-0.2,NA
Bob Duffy,55.3,0.3,0.1,0.1,NA,NA
R.J. Hunter,52.4,0.3,0.1,0,0,NA
Xavier Henry,52.3,0.3,0.2,0.2,0,-0.1
Jimmy Oliver,50.5,0.2,0.2,0,0,-0.1
