Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Andrew Harrison,,1.7,1.6,-0.1,NA,NA,NA
Fred LaCour,93.5,1.7,1.7,-0.1,NA,NA,NA
Quinn Cook,88.7,1.8,1.6,0.2,NA,NA,NA
Billy Shepherd,84.6,1.7,1.3,-0.3,NA,NA,NA
Richie Regan,82.1,1.6,1.5,0.4,NA,NA,NA
Steve Bracey,77.8,2.1,1.5,0.3,NA,NA,NA
Ollie Mack,75.6,1.6,1,-0.1,NA,NA,NA
Sidney Lowe,73.8,1.7,1.5,0.5,0.3,NA,NA
Eric Maynor,72.9,1.9,1.5,0.2,0.1,-0.4,NA
Rashad McCants,71.6,1.7,1.6,0.6,-0.3,NA,NA
Bryce Drew,70.4,1.7,1.3,0,-0.1,-0.2,-0.4
