Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Blue Edwards,,5.7,5.2,2.9,2.7,2.2,2.1,1.9,1.2,0.4,-0.1
Isaiah Rider,90.1,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8,0.2,NA
Bimbo Coles,87.5,5.7,5,3.2,3,2.8,2.7,2.3,1.1,0.9,0.5
Nate Robinson,87.3,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3
Steve Blake,87.1,5.8,3.8,3.3,2.8,2.4,2.1,1.8,1,0.7,0.3
Tom Henderson,86.9,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4,NA
Anthony Morrow,86.9,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA
Chris Childs,85.8,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,NA
Craig Hodges,85.6,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5
Jeremy Lin,85.3,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA
Bobby Jackson,84.8,5.5,5.4,3.5,3.1,3.1,2.5,2.2,1.4,1.2,-0.6
