Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Blue Edwards,,5.7,5.2,2.9,2.7,2.2,2.1,1.9,1.2,0.4,-0.1,NA,NA,NA,NA
Isaiah Rider,90.1,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8,0.2,NA,NA,NA,NA,NA
Nate Robinson,87.3,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3,0,NA,NA,NA
Tom Henderson,86.9,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4,NA,NA,NA,NA,NA
Anthony Morrow,86.9,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA,NA,NA,NA,NA
Bimbo Coles,86.5,5.7,5,3.2,3,2.8,2.7,2.3,1.1,0.9,0.5,0.4,0,0,-0.1
Chris Childs,85.8,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,NA,NA,NA,NA,NA
Craig Hodges,85.6,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5,NA,NA,NA,NA
Jeremy Lin,85.3,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA,NA,NA,NA,NA
Fred Hoiberg,84.5,6.1,5.9,5.2,2.7,2.3,2.1,1.8,1.3,0.2,0,NA,NA,NA,NA
Larry Steele,84.1,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5,NA,NA,NA,NA,NA
