Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Matt Bullard,,3.4,2.6,2.5,2.4,1.8,1.7,1,0.6,0.5,0.2,0.1
Sidney Green,91.5,3.4,2.7,2.5,2,1.9,1.9,1.7,0.6,0.4,0.3,NA
Omri Casspi,86.3,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5,NA
Brad Lohaus,86.1,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1
Kevin Restani,85.5,3.5,2.6,2.2,2.1,2,1.8,0.5,0,NA,NA,NA
Corky Calhoun,84.7,3.1,2.5,2.3,2.2,2.1,1.3,1,0,NA,NA,NA
Corie Blount,84.6,3.1,2.6,2.5,1.9,1.8,1.7,1.2,1.1,0.9,0.8,0.7
Andrew DeClercq,84.5,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1,0.4,0.1,NA
Francisco García,84.4,4.2,3,2.4,2.4,1.8,1.6,1.3,1,0.8,-0.2,NA
Darius Songaila,83.6,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0,NA,NA,NA
Mike Sanders,83.2,3.9,3.1,2.7,2,1.8,1.2,1,0.8,0.8,0.6,0.1
