Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Rudy Tomjanovich,,12.8,10.4,10.1,8.4,7.3,6.9,6.2,3.6,2.1,1.7,1,NA,NA
Roger Brown,89.7,13.3,10.9,10,9.3,7.3,6.5,6.1,1.8,NA,NA,NA,NA,NA
George McGinnis,89.3,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9,1.7,0.4,NA,NA
Billy Cunningham,88.6,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5,1.2,NA,NA
Kevin Love,88.1,14.3,11.4,10,8.7,8.5,6.4,6.4,5.3,4.9,1.3,1.1,NA,NA
Kiki Vandeweghe,88.1,11,10.8,10.3,9.9,8.4,7.7,5.7,3.8,2.9,2,1.2,1.1,0.8
Peja Stojaković,86.9,13.5,10.1,10.1,9.9,8.1,8,7.3,4.8,3.8,2.7,1.7,1.6,0.9
Paul George,86.8,11.9,10.8,9.2,9,8.9,7.1,6,2.4,0,NA,NA,NA,NA
Blake Griffin,86.3,12.2,10.6,9.8,9.2,9,8,7.7,4.9,3.8,NA,NA,NA,NA
Jimmy Butler,85.1,13.8,11.2,9.1,8.9,7.9,7.1,7,1.1,NA,NA,NA,NA,NA
Cedric Maxwell,85.0,12.2,11.7,11,9.1,6.6,6.4,5.4,5.4,4.6,4.2,2,NA,NA
