Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Rudy Tomjanovich,,12.8,10.4,10.1,8.4,7.3,6.9,6.2,3.6,2.1,1.7,1
Kiki Vandeweghe,90.0,11,10.8,10.3,9.9,8.4,7.7,5.7,3.8,2,1.2,0.8
Peja Stojaković,89.9,13.5,10.1,10.1,9.9,8.1,8,7.3,4.8,3.8,1.7,0.9
Roger Brown,89.7,13.3,10.9,10,9.3,7.3,6.5,6.1,1.8,NA,NA,NA
George McGinnis,89.3,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9,1.7,0.4
Chris Webber,88.9,11,10.7,9.3,8.6,8.3,7.8,6.9,4,3.6,1.9,1.1
Detlef Schrempf,88.8,12.9,10.4,9.8,9,8.4,8.2,8.1,4.4,4,3.6,0.8
Billy Cunningham,88.6,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5,1.2
Lou Hudson,88.5,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,2.7,2.2,0.8
Richard Jefferson,88.2,11.7,11,9.9,7.6,6.6,6,5.9,4.7,3.4,3.1,2.4
Kevin Love,88.1,14.3,11.4,10,8.7,8.5,6.4,6.4,5.3,4.9,1.3,1.1
