,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1974-75,26,HOU,NBA,,13,,,,,,10,14,,,,,,,,,30,
1976-77,28,HOU,NBA,,12,23,,,,,5,6,,,8,5,,,,4,28,
1978-79,30,HOU,NBA,,5,12,,,,,1,3,,,9,1,,1,1,1,11,
1979-80,31,HOU,NBA,,7,,1,,,,3,4,,,,,,,,,18,
1980-81,32,HOU,NBA,,1,4,0,,1,,2,2,,,3,0,,,,2,2,
Career,,,,,13,,,,,,10,14,,,,,,,,,30,
