Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,25,HOU,NBA,SF,1,0,17:00,2,5,0.4,NA,NA,NA,0,0,NA,2,5,0,0,0,NA,1,4
1974-75,26,HOU,NBA,PF,1,0,14:00,0,3,0,NA,NA,NA,0,0,NA,1,3,0,0,0,NA,3,0
1975-76,27,HOU,NBA,PF,1,0,12:00,1,2,0.5,NA,NA,NA,0,0,NA,1,3,0,0,0,NA,2,2
1976-77,28,HOU,NBA,PF,1,0,22:00,3,9,0.333,NA,NA,NA,0,0,NA,2,10,1,1,1,NA,1,6
1978-79,30,HOU,NBA,PF,1,1,24:00,6,13,0.462,NA,NA,NA,0,0,NA,4,6,1,0,0,0,2,12
Career,NA,,NBA,,5,1,89,12,32,0.375,NA,NA,NA,0,0,NA,10,27,2,1,1,0,9,24
