Thru 16 Years,Thru 16 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Shawn Marion,,14.6,13,12.5,12,11.7,9.8,9.1,7.4,5.6,5.3,5.2,5,4.3,4.1,3.7,1.7
Scottie Pippen,94.0,13.1,12.7,12.3,11.8,11.2,11.2,8.6,7.8,6.6,5.7,5.1,4.9,4,3.8,3.7,2.3
Elton Brand,87.9,14.8,13.6,11.5,10.6,9.7,9.4,7.6,7.5,6.1,6.1,3.6,3.5,3.4,0.9,0.7,0.5
Adrian Dantley,87.8,14.6,13.6,12.8,12.6,12.2,10.5,10.3,9.8,9.4,8,7.4,5.7,4.3,3.1,0.1,NA
Pau Gasol,87.3,14.7,13.9,12,11,10.4,8.5,8.4,8.3,8.1,7.6,7.1,6.9,6.8,6.4,3.7,3
John Havlicek,86.4,12.5,12.4,12.1,10.6,9.7,9.7,8.3,7.7,7.6,7.4,7.3,6.4,6.1,5.1,4.5,4.3
Dominique Wilkins,85.4,12.2,11.4,11.1,10.8,10.5,10.4,9.8,8.4,7.6,7,5.8,5.1,3.9,3.4,0.3,NA
Kevin McHale,85.2,14.8,11.1,11,11,10.5,10.2,10.1,7.9,7.5,7.5,4.7,4,2.8,NA,NA,NA
Rick Barry,84.6,14.4,12.7,11.1,10.4,10.4,10.2,9.7,9.6,8.5,8.4,8.1,7.8,4.2,3.4,NA,NA
Paul Pierce,84.4,12.9,12.4,11.6,11.5,11.2,10.4,10.3,10.1,8.3,8.2,7.2,7.1,7,5.4,5.2,4.9
Chet Walker,84.0,14.5,10.9,10.9,10.6,10.5,10.1,9.8,9.8,8.2,7.8,5.4,5.3,3.7,NA,NA,NA
