Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Larry Drew,,7.2,4.6,3.6,3,2.8,1.4,1.2,0.5,0.1,0,NA
Darwin Cook,88.3,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA,NA
Chris Whitney,85.3,6.5,4,3.2,2.7,2.3,1.3,1,0.6,0.2,-0.2,-0.3
Bobby Phills,84.9,7.1,5,4,3.5,3.2,3,1.5,-0.1,-0.1,NA,NA
George Senesky,84.9,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA,NA
Delonte West,84.6,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA,NA
Vincent Askew,83.9,6,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,NA,NA
Ted McClain,83.8,7,4.2,4.1,2.7,2,0.8,0.5,-0.1,NA,NA,NA
Jim Cleamons,83.6,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,NA,NA
Jeremy Lin,83.3,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA,NA
Martell Webster,82.9,6.3,5,4.4,3.5,1.8,1.5,1.3,0.9,0,0,NA
