Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Larry Drew,,7.2,4.6,3.6,3,2.8,1.4,1.2,0.5,0.1,0
Darwin Cook,88.3,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA
Earl Boykins,85.0,6,4.5,4.1,3.5,2.9,1,0.8,0.3,0,-0.3
Chris Whitney,85.0,6.5,4,3.2,2.7,2.3,1.3,1,0.6,-0.2,-0.3
Bobby Phills,84.9,7.1,5,4,3.5,3.2,3,1.5,-0.1,-0.1,NA
George Senesky,84.9,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA
Delonte West,84.6,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA
Vincent Askew,83.9,6,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,NA
Ted McClain,83.8,7,4.2,4.1,2.7,2,0.8,0.5,-0.1,NA,NA
Jim Cleamons,83.6,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,NA
Jeremy Lin,83.3,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA
