Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,19,DEN,NBA,SF,81,16,1320,3.1,10.7,0.293,1,4.1,0.243,2.1,6.6,0.324,1.3,1.8,0.738,1.7,3.2,4.9,2.5,0.8,0.8,2.3,3.7,8.6
2003-04,20,DEN,NBA,PF,39,0,307,4.7,14.3,0.328,0.4,1.3,0.273,4.3,13,0.333,2.7,3.4,0.793,2.8,4.6,7.4,1.2,0.7,0.9,2,5.9,12.4
2004-05,21,TOT,NBA,PF,35,0,220,3.6,12.1,0.297,0.3,2.8,0.118,3.3,9.3,0.351,0.7,1.1,0.571,2,4.7,6.7,1.6,1.3,1.8,3.1,5.4,8.2
2004-05,21,DEN,NBA,PF,23,0,158,3.4,11.6,0.294,0,1.6,0,3.4,10,0.341,0.9,1.6,0.571,2.5,4.1,6.6,0.9,1.8,1.8,3.2,5.5,7.7
2004-05,21,GSW,NBA,PF,12,0,62,4.1,13.4,0.304,1.2,5.8,0.2,2.9,7.5,0.385,0,0,NA,0.6,6.4,7,3.5,0,1.7,2.9,5.2,9.3
2005-06,22,TOT,NBA,SF-PF,17,0,99,4.7,13.5,0.351,0.4,1.1,0.333,4.4,12.4,0.353,3.3,5.1,0.643,3.3,4.7,8,1.1,0.4,0.7,2.2,2.9,13.1
2005-06,22,MIN,NBA,PF,5,0,13,2.8,11.1,0.25,0,0,NA,2.8,11.1,0.25,2.8,5.5,0.5,0,5.5,5.5,0,0,0,5.5,0,8.3
2005-06,22,PHO,NBA,SF,12,0,86,5,13.8,0.364,0.4,1.3,0.333,4.6,12.6,0.367,3.3,5,0.667,3.8,4.6,8.4,1.3,0.4,0.8,1.7,3.3,13.8
Career,NA,,NBA,,172,16,1946,3.5,11.6,0.304,0.8,3.4,0.235,2.7,8.2,0.332,1.6,2.1,0.73,2,3.7,5.7,2.1,0.9,0.9,2.3,4.2,9.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DEN,NBA,,143,16,1785,3.4,11.4,0.3,0.8,3.4,0.235,2.6,8,0.328,1.5,2,0.743,2,3.5,5.5,2.1,0.9,0.9,2.3,4.2,9.2
1 season,NA,GSW,NBA,,12,0,62,4.1,13.4,0.304,1.2,5.8,0.2,2.9,7.5,0.385,0,0,NA,0.6,6.4,7,3.5,0,1.7,2.9,5.2,9.3
1 season,NA,PHO,NBA,,12,0,86,5,13.8,0.364,0.4,1.3,0.333,4.6,12.6,0.367,3.3,5,0.667,3.8,4.6,8.4,1.3,0.4,0.8,1.7,3.3,13.8
1 season,NA,MIN,NBA,,5,0,13,2.8,11.1,0.25,0,0,NA,2.8,11.1,0.25,2.8,5.5,0.5,0,5.5,5.5,0,0,0,5.5,0,8.3
