,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2006-07,21,UTA,NBA,PF,17,263,,,7%,91%,2%,+3.5,+3.3,6,3,17,3,9,5,16,0,10
2007-08,22,UTA,NBA,PF,12,210,,,,99%,1%,-3.5,-5.3,3,2,16,3,14,0,10,7,8
2008-09,23,UTA,NBA,PF,5,155,,,,79%,21%,-10.5,-2.1,1,1,10,1,5,2,17,2,6
2009-10,24,UTA,NBA,PF,10,323,,,,98%,3%,-2.9,-4.2,2,4,21,6,30,7,49,8,8
2011-12,26,UTA,NBA,PF,4,139,,,44%,56%,,-22.5,-15.6,2,2,6,3,4,0,4,0,6
2013-14,28,ATL,NBA,PF,7,267,,,,70%,30%,-5.2,-13.6,10,5,5,4,25,2,54,4,11
2014-15,29,ATL,NBA,PF,16,566,,,,90%,11%,+4.9,+16.9,16,8,28,7,34,2,136,8,10
2015-16,30,ATL,NBA,PF,10,365,,,,81%,19%,-2.3,-3.1,5,14,11,5,26,0,65,7,9
2016-17,31,ATL,NBA,PF,6,219,,,,90%,10%,-3.4,-10.7,7,9,10,4,22,0,64,6,9
2018-19,33,DEN,NBA,PF,14,469,,,,99%,1%,+6.2,+11.9,5,7,25,4,28,4,28,6,12
Career,,,NBA,,101,2976,,,3%,88%,10%,-1.0,+1.3,57,55,149,40,197,22,443,48,89
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,UTA,NBA,,48,1090,,,7%,88%,4%,-5.1,-3.7,14,12,70,16,62,14,96,17,38
4 seasons,,ATL,NBA,,39,1417,,,,84%,16%,-0.2,+1.7,38,36,54,20,107,4,319,25,39
1 season,,DEN,NBA,,14,469,,,,99%,1%,+6.2,+11.9,5,7,25,4,28,4,28,6,12
