,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2007-08,19,PROVIDENCE,18,,21,55,5,19,15,21,,17,7,6,3,13,,62,.382,.263,.714,,3.4,0.9,0.4
2008-09,20,PROVIDENCE,32,,122,279,40,128,54,79,,115,44,34,23,44,,338,.437,.313,.684,,10.6,3.6,1.4
2009-10,21,PROVIDENCE,31,824,168,360,46,131,59,83,55,129,44,41,16,52,72,441,.467,.351,.711,26.6,14.2,4.2,1.4
2010-11,22,PROVIDENCE,32,1168,276,571,67,197,169,219,72,225,80,48,39,98,80,788,.483,.340,.772,36.5,24.6,7.0,2.5
Career,,,113,1992,587,1265,158,475,297,402,127,486,175,129,81,207,152,1629,.464,.333,.739,31.6,14.4,4.3,1.5
