Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
MarShon Brooks,,1.3,0.8,0.7,0.4,0.1,NA,NA,NA
Steve Alford,84.5,1.4,0.9,0.6,0.3,NA,NA,NA,NA
Reggie Jordan,82.2,1.2,0.8,0.6,0.4,0.3,-0.2,NA,NA
John Warren,75.3,1.7,0.9,0.8,0.5,0.3,NA,NA,NA
Nik Stauskas,73.9,1.4,1.1,0.5,0.5,0.3,NA,NA,NA
Steve Henson,72.6,1.2,1.1,1,0.2,0.1,0,0,NA
Isaiah Canaan,71.1,1.4,1.4,0.6,0.5,0.2,0.1,NA,NA
Jordan Hamilton,70.7,1.6,0.8,0.3,0.2,0.1,NA,NA,NA
Mitchell Butler,69.4,1.1,0.6,0.5,0.5,0.3,0.1,0.1,-0.2
Tommy Kron,69.4,1.3,0.8,0.8,-0.3,NA,NA,NA,NA
Brook Steppe,68.9,1.3,1.1,1,0.7,0.6,NA,NA,NA
