Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
MarShon Brooks,,1.3,0.8,0.7,0.4,0.1
Reggie Jordan,87.0,1.2,0.8,0.6,0.4,0.3
Steve Alford,84.5,1.4,0.9,0.6,0.3,NA
Royal Ivey,76.0,0.9,0.7,0.5,0.3,0.2
John Warren,75.3,1.7,0.9,0.8,0.5,0.3
Nik Stauskas,73.9,1.4,1.1,0.5,0.5,0.3
Michael Carter-Williams,73.1,1.3,1.2,0.9,0.8,0.2
Isaiah Canaan,72.9,1.4,1.4,0.6,0.5,0.2
Steve Henson,70.9,1.2,1.1,1,0.2,0
Jordan Hamilton,70.7,1.6,0.8,0.3,0.2,0.1
Tommy Kron,69.4,1.3,0.8,0.8,-0.3,NA
