Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Darnell Hillman,,6.2,4.4,4.2,3.8,3.3,3.2,3.2,2.6,0.3,NA,NA
Phil Hubbard,88.8,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,NA
John Block,88.2,5.5,5.1,4.2,4.2,4.1,4.1,3.1,2.3,0.2,0,NA
Patrick Patterson,87.7,6.1,4.1,3.8,3.6,3.3,2.6,2.4,1.6,1.1,NA,NA
Al-Farouq Aminu,86.3,5.8,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7,NA,NA
Cliff Robinson,85.9,5.6,4.4,3.6,3.5,3.1,2.9,2.6,2.5,2.1,0.3,0.1
Mike Bantom,85.8,5.9,5.2,4.8,4.5,4.4,3.9,2.9,2.7,0.5,NA,NA
P.J. Tucker,85.8,6.1,5,4.9,3.9,3.6,3.5,2.9,0.1,NA,NA,NA
Harrison Barnes,85.5,6.7,4.9,4.6,3.8,3.6,3.2,2.8,NA,NA,NA,NA
Morris Peterson,85.4,5.9,5.1,4.9,4.9,3.8,3.6,3.2,2.9,0.8,0.6,0
Kenny Carr,84.9,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0,NA
