Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Darnell Hillman,,6.2,4.4,4.2,3.8,3.3,3.2,3.2,2.6,0.3
Johnny Newman,93.5,6.7,4.5,4.1,3.7,3.7,3.1,2.8,2.3,0.3
Bingo Smith,90.1,6.1,4.2,4.2,3.7,3.3,2.5,2.4,1.6,1.1
Phil Hubbard,89.3,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.2
Chris Morris,89.2,7.2,4.7,4.5,4,3.8,3.3,3.2,2.8,1.2
John Block,88.2,5.5,5.1,4.2,4.2,4.1,4.1,3.1,2.3,0.2
Patrick Patterson,87.7,6.1,4.1,3.8,3.6,3.3,2.6,2.4,1.6,1.1
Matt Bonner,87.4,6.8,4.4,4.2,4.1,4,3.7,2.5,2.2,2
Antoine Carr,86.9,5.5,5.4,4,3.8,3.5,3.3,2.2,2.1,0.7
Harvey Grant,86.9,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7
Corliss Williamson,86.9,5.1,4.9,4.4,4.1,3.6,3.2,2.7,2.5,-0.8
