Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Otto Porter,,9.4,8.1,5.6,3.2,2.7,0
Detlef Schrempf,87.1,9,8.1,4.4,4,3.6,0.8
Danny Manning,86.9,9.8,7.9,5.3,5.2,3.5,0.7
Fred Schaus,86.9,8.5,8.4,6.8,4,3.7,NA
Antonio McDyess,86.8,9.4,7.8,6.2,4.2,3.6,1.8
Bill Bridges,86.3,8.6,7.6,3.9,3.1,2.6,0.6
Ben Wallace,85.9,11.6,7,5.6,3.6,2.9,-0.2
Gordon Hayward,85.1,8.9,8.7,5.4,4.9,3.6,1.2
Corey Maggette,84.4,8.6,8.1,5,3.9,3.3,2.6
Steve Mix,83.0,9.4,8.2,5.1,1.3,0.4,-0.3
Anderson Varejão,83.0,8.1,8,6.6,3,2.4,2.3
