Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Otto Porter,,9.4,8.1,5.6,3.2,2.7,0,NA,NA
Fred Schaus,86.9,8.5,8.4,6.8,4,3.7,NA,NA,NA
Chandler Parsons,79.8,7.6,7,5.5,4.3,3.4,1.1,0.2,0
Reggie King,79.5,8.3,6.2,4.8,3.4,1.6,0.5,NA,NA
Doug Moe,79.2,9.4,5.2,4.8,4.3,1.8,NA,NA,NA
Arthur Becker,78.0,9.6,5.4,4.6,4.4,3.7,0.3,NA,NA
Bob Kauffman,77.8,8,7.9,7.9,3.1,2,1.4,1.2,NA
Goose Ligon,77.7,9.9,9.7,6.5,6.3,2.4,1,0.3,NA
Joe Ingles,76.7,7.6,6,5,2.3,2.2,NA,NA,NA
Sonny Parker,76.4,7,6.8,6.2,3,2.3,1.6,NA,NA
John Shumate,76.4,7.7,6.5,6.3,3.5,0.5,NA,NA,NA
