Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Lester Conner,,6.2,5.9,3.7,2.8,2.7,2.7,2.1,0.8,0.7,0.5,0.3,0,NA,NA
Craig Hodges,90.9,6,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5,NA,NA,NA,NA
Nate Robinson,89.2,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3,0,NA,NA,NA
Bimbo Coles,89.1,5.7,5,3.2,3,2.8,2.7,2.3,1.1,0.9,0.5,0.4,0,0,-0.1
Bonzi Wells,87.5,6,5.9,4,3.4,3.1,3.1,3,0.9,0.1,-0.1,NA,NA,NA,NA
Jim Cleamons,86.3,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,NA,NA,NA,NA,NA
Gerald Henderson,85.5,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0,NA
Fred Hoiberg,85.4,6.1,5.9,5.2,2.7,2.3,2.1,1.8,1.3,0.2,0,NA,NA,NA,NA
Foots Walker,85.2,6.1,5.2,4.2,3.4,3.4,3,2.3,1.5,1.5,0.3,NA,NA,NA,NA
Travis Best,84.2,7.2,5.1,4.1,3.4,3.3,2.5,2.1,1.8,0.7,0.7,NA,NA,NA,NA
Voshon Lenard,84.2,7.1,6.8,4,3.5,3,2.4,1.7,0.9,0.3,0.1,-0.1,NA,NA,NA
