Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Larry McNeill,,4.4,4.3,2.3,1.5,0.7,0.1
Bison Dele,90.0,4.7,4,2.3,1.8,0.3,0.2
Ed Conlin,89.9,4.7,4.3,2,2,0.7,0.5
Andrew Wiggins,89.2,4.2,4.1,2.1,2.1,0.6,NA
Danny Fortson,86.3,4.5,4.4,3.5,1.9,1.1,0.2
Cornell Warner,85.5,4.7,4.3,3.5,1.7,0.6,0.6
Fred Hetzel,84.2,5.1,4.5,2.9,2,0.9,0.5
James Jones,84.2,4,3.7,2.5,2.2,0.9,0
Kenny Gattison,84.1,4.5,3.2,3,1.5,0.7,0
Richaun Holmes,84.0,4.3,3.8,2.8,1.5,NA,NA
Kwame Brown,83.9,4.9,3.6,2.5,1.9,0.8,0.6
