Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,23,KCO,NBA,PF,54,NA,516,9.3,19.3,0.482,8.7,12.3,0.707,5.3,7.5,12.8,2.1,3.1,0.5,NA,6.7,27.3,NA,NA,96
1974-75,24,KCO,NBA,PF,80,NA,1749,7.8,17,0.459,5,6.3,0.784,3.9,9.1,13.1,1.9,1.8,0.7,NA,6,20.5,NA,NA,95
1975-76,25,KCK,NBA,PF,82,NA,1613,8.3,17.2,0.484,5.8,7.7,0.758,4.4,9.9,14.4,2,1.4,0.9,NA,6.9,22.4,NA,NA,98
1976-77,26,TOT,NBA,PF,24,NA,230,9.2,22,0.42,10.2,12,0.852,5.5,9.2,14.7,1.2,2,0.4,NA,6.3,28.7,NA,NA,97
1976-77,26,NYN,NBA,PF,8,NA,93,9,25.4,0.353,11.9,14.9,0.8,5,8,12.9,1.5,2,0.5,NA,6.5,29.9,NA,NA,97
1976-77,26,GSW,NBA,PF,16,NA,137,9.4,19.8,0.475,9.1,10.1,0.903,5.9,10.1,15.9,1,2,0.3,NA,6.2,28,NA,NA,97
1977-78,27,TOT,NBA,PF,46,NA,940,7.9,17.4,0.455,7.1,8.6,0.829,3.9,6,9.9,2.3,0.9,0.5,3.3,5.6,22.9,NA,107,105
1977-78,27,GSW,NBA,PF,9,NA,67,4.1,12.2,0.333,10.1,12.8,0.789,1.4,8.1,9.5,1.4,0,0.7,4.7,9.5,18.3,NA,91,102
1977-78,27,BUF,NBA,PF,37,NA,873,8.2,17.8,0.462,6.8,8.2,0.833,4.1,5.8,9.9,2.4,0.9,0.5,3.2,5.3,23.3,NA,108,105
1978-79,28,DET,NBA,PF,11,NA,46,8.8,19.5,0.45,10.7,11.7,0.917,2.9,6.8,9.7,2.9,0,0,3.9,6.8,28.2,NA,113,108
Career,NA,,NBA,,297,NA,5094,8.2,17.6,0.466,6.3,8.1,0.779,4.3,8.6,12.9,2,1.6,0.7,0.6,6.3,22.7,NA,108,98
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"KCO,KCK",NBA,,216,NA,3878,8.2,17.4,0.473,5.8,7.7,0.757,4.3,9.3,13.6,2,1.8,0.8,NA,6.5,22.2,NA,NA,96
1 season,NA,BUF,NBA,,37,NA,873,8.2,17.8,0.462,6.8,8.2,0.833,4.1,5.8,9.9,2.4,0.9,0.5,3.2,5.3,23.3,NA,108,105
2 seasons,NA,GSW,NBA,,25,NA,204,7.7,17.3,0.443,9.4,11,0.86,4.4,9.4,13.8,1.1,1.3,0.4,1.5,7.2,24.8,NA,91,99
1 season,NA,DET,NBA,,11,NA,46,8.8,19.5,0.45,10.7,11.7,0.917,2.9,6.8,9.7,2.9,0,0,3.9,6.8,28.2,NA,113,108
1 season,NA,NYN,NBA,,8,NA,93,9,25.4,0.353,11.9,14.9,0.8,5,8,12.9,1.5,2,0.5,NA,6.5,29.9,NA,NA,97
