Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1973-74,23,KCO,NBA,PF,54,516,20.9,0.552,0.636,12.2,17.5,14.8,7.2,3.1,0.6,NA,NA,NA,0.9,0.6,1.5,0.142,NA,1.2,-0.1,1.1,0.4
1974-75,24,KCO,NBA,PF,80,1749,15.5,0.52,0.374,8.8,20.6,14.7,6.4,1.8,0.8,NA,NA,NA,2,2.4,4.4,0.121,NA,-0.6,-0.2,-0.9,0.5
1975-76,25,KCK,NBA,PF,82,1613,17,0.546,0.448,9.8,22.6,16.2,6.7,1.4,1.1,NA,NA,NA,2.6,1.8,4.3,0.129,NA,-0.3,-0.8,-1.1,0.4
1976-77,26,TOT,NBA,PF,24,230,19.6,0.526,0.545,12,21.1,16.5,4,2,0.5,NA,NA,NA,0.4,0.3,0.7,0.15,NA,-1.4,-0.8,-2.1,0.1
1976-77,26,NYN,NBA,PF,8,93,18.1,0.467,0.588,10.4,18.4,14.2,5.5,2,0.6,NA,NA,NA,0,0.1,0.1,0.057,NA,-2.6,-0.7,-3.3,0
1976-77,26,GSW,NBA,PF,16,137,20.6,0.576,0.508,13.2,23,18.1,3,2,0.4,NA,NA,NA,0.4,0.2,0.6,0.214,NA,-0.5,-0.8,-1.4,0.1
1977-78,27,TOT,NBA,PF,46,940,15.3,0.542,0.492,9.2,13.8,11.5,7.3,0.9,0.6,13.4,21.2,NA,1.8,0.5,2.3,0.117,NA,0.4,-1.5,-1.1,0.2
1977-78,27,GSW,NBA,PF,9,67,6.5,0.512,1.056,3,18.6,10.6,3.7,0,0.8,21,19.5,NA,0,0.1,0.1,0.036,NA,-4.7,-0.5,-5.2,-0.1
1977-78,27,BUF,NBA,PF,37,873,16,0.543,0.462,9.6,13.4,11.5,7.5,0.9,0.6,12.9,21.4,NA,1.8,0.4,2.2,0.123,NA,0.8,-1.6,-0.8,0.3
1978-79,28,DET,NBA,PF,11,46,16.5,0.574,0.6,6.6,16.4,11.3,8.8,0,0,13.7,24.2,NA,0.1,0,0.1,0.148,NA,-3.2,-0.4,-3.6,0
Career,NA,,NBA,,297,5094,16.7,0.537,0.46,9.7,19.7,14.6,6.6,1.6,0.8,13.4,21.4,NA,7.9,5.6,13.4,0.127,NA,-0.2,-0.7,-0.9,1.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"KCO,KCK",NBA,,216,3878,16.8,0.536,0.443,9.7,21,15.3,6.6,1.8,0.9,NA,NA,NA,5.5,4.8,10.3,0.128,NA,-0.2,-0.4,-0.7,1.3
1 season,NA,BUF,NBA,,37,873,16,0.543,0.462,9.6,13.4,11.5,7.5,0.9,0.6,12.9,21.4,NA,1.8,0.4,2.2,0.123,NA,0.8,-1.6,-0.8,0.3
2 seasons,NA,GSW,NBA,,25,204,16,0.559,0.633,9.8,21.5,15.6,3.2,1.3,0.5,21,19.5,NA,0.4,0.2,0.7,0.155,NA,-1.9,-0.7,-2.6,0
1 season,NA,DET,NBA,,11,46,16.5,0.574,0.6,6.6,16.4,11.3,8.8,0,0,13.7,24.2,NA,0.1,0,0.1,0.148,NA,-3.2,-0.4,-3.6,0
1 season,NA,NYN,NBA,,8,93,18.1,0.467,0.588,10.4,18.4,14.2,5.5,2,0.6,NA,NA,NA,0,0.1,0.1,0.057,NA,-2.6,-0.7,-3.3,0
