Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Julian Wright,,1.7,0.8,0.8,0.6
Byron Houston,89.1,1.8,0.9,0.7,0.5
D.J. White,86.2,1.8,0.8,0.6,0.4
Bob Portman,83.2,1.9,1.2,0.8,0.5
Jarell Martin,82.3,1.3,0.8,0.6,0.5
Darvin Ham,81.8,1.7,0.9,0.9,0.1
Henry Walker,81.5,1.9,1.1,0.9,0.5
Chris Crawford,81.4,1.3,0.9,0.6,0.6
Charles Davis,80.6,1.5,1,0.9,0.3
Pete Verhoeven,79.7,2.1,0.8,0.7,0.4
Stanley Johnson,78.8,1.8,0.6,0.5,0.4
