Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Julian Wright,,1.7,0.8,0.8,0.6,NA,NA,NA
Byron Houston,89.1,1.8,0.9,0.7,0.5,NA,NA,NA
Bob Portman,83.2,1.9,1.2,0.8,0.5,NA,NA,NA
Jarell Martin,82.3,1.3,0.8,0.6,0.5,NA,NA,NA
D.J. White,81.9,1.8,0.8,0.6,0.4,0.2,0,NA
Stanley Johnson,78.8,1.8,0.6,0.5,0.4,NA,NA,NA
Yi Jianlian,78.5,1.3,0.7,0.7,0.4,0,NA,NA
Thomas Robinson,77.8,1.6,1.5,0.9,0.6,-0.1,NA,NA
Joe Kopicki,76.1,1.9,0.9,0.7,NA,NA,NA,NA
John Thomas,75.5,1.5,0.9,0.4,0.4,0,NA,NA
Tony Brown,74.8,1.8,1.3,0.9,0.5,0.2,0.2,0
