Season,Team,Lg,Salary
1984-85,Milwaukee Bucks,NBA,"$410,000"
1985-86,Milwaukee Bucks,NBA,"$633,000"
1987-88,Milwaukee Bucks,NBA,"$1,330,000"
1988-89,Milwaukee Bucks,NBA,"$1,400,000"
1989-90,San Antonio Spurs,NBA,"$1,700,000"
1990-91,San Antonio Spurs,NBA,"$1,860,000"
1991-92,San Antonio Spurs,NBA,"$1,861,000"
1992-93,San Antonio Spurs,NBA,"$2,407,000"
1993-94,San Antonio Spurs,NBA,"$2,407,000"
1994-95,San Antonio Spurs,NBA,"$2,406,600"
1995-96,Milwaukee Bucks,NBA,"$650,000"
1997-98,Philadelphia 76ers,NBA,"$1,000,000"
1998-99,Golden State Warriors,NBA,"$1,150,000"
1999-00,Golden State Warriors,NBA,"$2,600,000"
2000-01,Golden State Warriors,NBA,"$2,200,000"
Career,(may be incomplete),,"$24,014,600"
