,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,23,TOT,ABA,,5,,1,,,,7,8,,,,,,,17
1968-69,23,MMF,ABA,,5,,1,,,,7,8,,,,,,,17
1969-70,24,TOT,ABA,,9,,0,,,,6,7,,,,,,,22
1969-70,24,LAS,ABA,,9,,0,,,,6,7,,,,,,,22
Career,,,,,9,,1,,,,7,8,,,,,,,22
1 Season,,LAS,ABA,,9,,0,,,,6,7,,,,,,,22
1 Season,,MMF,ABA,,5,,1,,,,7,8,,,,,,,17
