Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,23,MMF,ABA,SG,12,NA,244,5.2,12,0.432,0.1,0.4,0.333,5,11.5,0.436,3.8,5.2,0.743,NA,NA,3.4,2.4,3.4,3.1,14.3
1969-70,24,LAS,ABA,SG,16,NA,307,5.9,15.7,0.373,0,0.2,0,5.9,15.5,0.379,3.3,3.6,0.903,NA,NA,4.3,3,2,4.5,15
Career,NA,,ABA,,28,NA,551,5.6,14,0.395,0.1,0.3,0.2,5.5,13.7,0.4,3.5,4.3,0.818,NA,NA,3.9,2.7,2.6,3.9,14.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,LAS,ABA,,16,NA,307,5.9,15.7,0.373,0,0.2,0,5.9,15.5,0.379,3.3,3.6,0.903,NA,NA,4.3,3,2,4.5,15
1 season,NA,MMF,ABA,,12,NA,244,5.2,12,0.432,0.1,0.4,0.333,5,11.5,0.436,3.8,5.2,0.743,NA,NA,3.4,2.4,3.4,3.1,14.3
