Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22,OAK,ABA,PG,77,NA,1894,5.3,14.4,0.369,0.2,0.8,0.205,5.1,13.5,0.379,3.1,4.3,0.724,NA,NA,3.2,2.2,2.3,3.6,13.9
1968-69,23,TOT,ABA,SG,36,NA,742,6,13.2,0.452,0,0.3,0,6,12.9,0.462,4.8,6,0.797,2.5,2.6,5.1,2.2,2.6,3.7,16.7
1968-69,23,OAK,ABA,,3,NA,24,7.5,13.5,0.556,0,0,NA,7.5,13.5,0.556,3,4.5,0.667,4.5,1.5,6,4.5,3,7.5,18
1968-69,23,MMF,ABA,SG,33,NA,718,5.9,13.2,0.449,0,0.3,0,5.9,12.9,0.459,4.8,6,0.8,2.4,2.7,5.1,2.1,2.6,3.6,16.6
1969-70,24,TOT,ABA,SG,81,NA,2150,6.7,15.6,0.431,0,0.2,0.077,6.7,15.4,0.436,3.4,4.5,0.761,2.3,1.9,4.3,2.7,2.4,3.3,16.9
1969-70,24,MMF,ABA,SG,32,NA,617,6.4,14.8,0.431,0,0.1,0,6.4,14.6,0.434,5.2,6.6,0.788,1.8,1.5,3.3,2.3,3.2,4.3,17.9
1969-70,24,LAS,ABA,SG,49,NA,1533,6.9,15.9,0.431,0,0.3,0.091,6.8,15.6,0.437,2.7,3.6,0.742,2.6,2.1,4.7,2.9,2.1,2.9,16.4
Career,NA,,ABA,,194,NA,4786,6,14.7,0.41,0.1,0.5,0.159,6,14.3,0.418,3.5,4.6,0.755,2.4,2.1,4,2.5,2.4,3.5,15.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,OAK,ABA,,80,NA,1918,5.3,14.4,0.371,0.2,0.8,0.205,5.2,13.5,0.381,3.1,4.3,0.724,4.5,1.5,3.2,2.3,2.3,3.7,13.9
2 seasons,NA,MMF,ABA,,65,NA,1335,6.1,13.9,0.44,0,0.2,0,6.1,13.7,0.447,5,6.3,0.794,2.1,2.1,4.2,2.2,2.8,3.9,17.2
1 season,NA,LAS,ABA,,49,NA,1533,6.9,15.9,0.431,0,0.3,0.091,6.8,15.6,0.437,2.7,3.6,0.742,2.6,2.1,4.7,2.9,2.1,2.9,16.4
