Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Andrew Anderson,,2.3,1.7,-0.5,NA
Frank Kudelka,94.2,2.4,1.7,-0.4,NA
Kenny Rollins,75.8,2.6,1.5,0.1,NA
Steve Bracey,73.3,2.1,1.5,0.3,NA
Fred LaCour,71.0,1.7,1.7,-0.1,NA
Andrew Harrison,68.5,1.7,1.6,-0.1,NA
Maurice McHartley,66.4,2.4,1.8,0.8,NA
Rodrigue Beaubois,66.2,2.2,2,0.4,0.2
Quinn Cook,65.3,1.8,1.6,0.2,NA
Billy Shepherd,63.8,1.7,1.3,-0.3,NA
Harold Miner,63.6,2.7,2,-0.1,-0.4
