Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22,OAK,ABA,PG,77,NA,1894,279,756,0.369,9,44,0.205,270,712,0.379,0.375,163,225,0.724,NA,NA,167,118,120,190,730
1968-69,23,TOT,ABA,SG,36,NA,742,123,272,0.452,0,6,0,123,266,0.462,0.452,98,123,0.797,51,54,105,45,53,76,344
1968-69,23,OAK,ABA,,3,NA,24,5,9,0.556,0,0,NA,5,9,0.556,0.556,2,3,0.667,3,1,4,3,2,5,12
1968-69,23,MMF,ABA,SG,33,NA,718,118,263,0.449,0,6,0,118,257,0.459,0.449,96,120,0.8,48,53,101,42,51,71,332
1969-70,24,TOT,ABA,SG,81,NA,2150,401,930,0.431,1,13,0.077,400,917,0.436,0.432,204,268,0.761,140,115,255,164,143,196,1007
1969-70,24,MMF,ABA,SG,32,NA,617,109,253,0.431,0,2,0,109,251,0.434,0.431,89,113,0.788,30,26,56,39,54,74,307
1969-70,24,LAS,ABA,SG,49,NA,1533,292,677,0.431,1,11,0.091,291,666,0.437,0.432,115,155,0.742,110,89,199,125,89,122,700
Career,NA,,ABA,,194,NA,4786,803,1958,0.41,10,63,0.159,793,1895,0.418,0.413,465,616,0.755,191,169,527,327,316,462,2081
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,OAK,ABA,,80,NA,1918,284,765,0.371,9,44,0.205,275,721,0.381,0.377,165,228,0.724,3,1,171,121,122,195,742
2 seasons,NA,MMF,ABA,,65,NA,1335,227,516,0.44,0,8,0,227,508,0.447,0.44,185,233,0.794,78,79,157,81,105,145,639
1 season,NA,LAS,ABA,,49,NA,1533,292,677,0.431,1,11,0.091,291,666,0.437,0.432,115,155,0.742,110,89,199,125,89,122,700
