Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,22,OAK,ABA,PG,77,1894,7.6,0.427,0.058,0.298,NA,NA,3.8,8.8,12.3,18.7,NA,-0.8,0.3,-0.5,-0.012
1968-69,23,TOT,ABA,SG,36,742,13.6,0.527,0.022,0.452,NA,NA,6.6,8.2,14,18.4,NA,1.1,0.6,1.7,0.107
1968-69,23,OAK,ABA,,3,24,15.7,0.581,0,0.333,NA,NA,7.4,16.6,16.2,17.5,NA,0.1,0,0.1,0.165
1968-69,23,MMF,ABA,SG,33,718,13.6,0.526,0.023,0.456,NA,NA,6.6,7.9,13.9,18.5,NA,1,0.5,1.6,0.105
1969-70,24,TOT,ABA,SG,81,2150,13,0.48,0.014,0.288,NA,NA,5.2,11,12,20.3,NA,0.8,1.5,2.3,0.052
1969-70,24,MMF,ABA,SG,32,617,12.3,0.507,0.008,0.447,NA,NA,4.1,8.8,15.1,20.8,NA,0.7,0.4,1,0.078
1969-70,24,LAS,ABA,SG,49,1533,13.2,0.47,0.016,0.229,NA,NA,5.7,11.9,10.7,20.1,NA,0.1,1.2,1.3,0.041
Career,NA,,ABA,,194,4786,10.9,0.467,0.032,0.315,NA,NA,4.9,9.7,12.4,19.4,NA,1.1,2.4,3.5,0.035
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,OAK,ABA,,80,1918,7.7,0.429,0.058,0.298,NA,NA,3.9,8.9,12.4,18.7,NA,-0.7,0.3,-0.4,-0.01
2 seasons,NA,MMF,ABA,,65,1335,13,0.517,0.016,0.452,NA,NA,5.4,8.4,14.5,19.5,NA,1.7,0.9,2.6,0.093
1 season,NA,LAS,ABA,,49,1533,13.2,0.47,0.016,0.229,NA,NA,5.7,11.9,10.7,20.1,NA,0.1,1.2,1.3,0.041
