,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22,OAK,ABA,,13,,3,,,,10,14,,,,,,,33
1968-69,23,TOT,ABA,,7,,0,,,,11,12,,,,,,,20
1968-69,23,OAK,ABA,,5,,0,,,,2,3,,,,,,,12
1968-69,23,MMF,ABA,,7,,0,,,,11,12,,,,,,,20
1969-70,24,TOT,ABA,,12,,1,,,,9,13,,,,,,,30
1969-70,24,MMF,ABA,,11,,0,,,,9,13,,,,,,,30
1969-70,24,LAS,ABA,,12,,1,,,,9,10,,,,,,,29
Career,,,,,13,,3,,,,11,14,,,,,,,33
2 Seasons,,OAK,ABA,,13,,3,,,,10,14,,,,,,,33
2 Seasons,,MMF,ABA,,11,,0,,,,11,13,,,,,,,30
1 Season,,LAS,ABA,,12,,1,,,,9,10,,,,,,,29
