Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dwight Powell,,7.5,6.6,4.6,3.1,0.6
Clifford Robinson,93.7,7.5,6.8,4.6,4.2,0.3
Wil Jones,90.2,7.4,6,4,2.3,0.6
John Shumate,89.3,7.7,6.5,6.3,3.5,0.5
Jae Crowder,89.2,7.3,6.7,3.9,2.3,1.5
Jim Brewer,89.1,7.9,5.8,4.4,2.6,1.3
Bob Gross,89.0,7.4,7.1,3.8,2.9,1.7
Reggie King,88.9,8.3,6.2,4.8,3.4,1.6
Larry Siegfried,87.9,6.4,5.8,5.1,3.2,0.5
Danilo Gallinari,87.5,7.2,6.1,5.6,3.9,1
David West,87.4,8.4,7.4,5.2,2.8,0.2
