Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Dwight Powell,,7.5,6.6,4.6,3.1,0.6,NA,NA,NA
John Shumate,89.3,7.7,6.5,6.3,3.5,0.5,NA,NA,NA
Reggie King,87.3,8.3,6.2,4.8,3.4,1.6,0.5,NA,NA
Joe Ingles,85.7,7.6,6,5,2.3,2.2,NA,NA,NA
Julian Hammond,83.4,6.7,6.6,5.7,5.1,0.8,NA,NA,NA
Leo Mogus,81.2,8,7.7,5,1.2,NA,NA,NA,NA
Greg Smith,80.5,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0
Jerami Grant,80.2,7.3,5.4,2.9,2.1,0.5,NA,NA,NA
Ernie Vandeweghe,79.6,7.1,4.8,3.9,2.1,0.3,-0.1,NA,NA
John Brisker,79.2,8.2,6.3,3.1,2.3,1.7,0.5,NA,NA
Clark Kellogg,79.0,7,6.8,6.1,0.9,0.1,NA,NA,NA
