,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1991-92,19,UCONN,29,294,17,45,,,28,39,,23,40,13,2,31,30,62,.378,,.718,10.1,2.1,0.8,1.4
1992-93,20,UCONN,28,864,69,176,1,9,81,109,,64,158,27,2,69,69,220,.392,.111,.743,30.9,7.9,2.3,5.6
1993-94,21,UCONN,34,973,73,155,2,10,71,97,,83,209,23,1,85,50,219,.471,.200,.732,28.6,6.4,2.4,6.1
1994-95,22,UCONN,33,1025,112,222,13,42,87,108,,82,212,44,2,84,40,324,.505,.310,.806,31.1,9.8,2.5,6.4
Career,,,124,3156,271,598,16,61,267,353,,252,619,107,7,269,189,825,.453,.262,.756,25.5,6.7,2.0,5.0
