Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,22,TOT,NBA,C,49,NA,945,144,390,0.369,70,113,0.619,NA,NA,409,37,NA,NA,NA,115,358
1968-69,22,CIN,NBA,,20,NA,108,18,43,0.419,2,7,0.286,NA,NA,31,4,NA,NA,NA,17,38
1968-69,22,MIL,NBA,C,29,NA,837,126,347,0.363,68,106,0.642,NA,NA,378,33,NA,NA,NA,98,320
1969-70,23,MIL,NBA,PF,80,NA,1637,237,546,0.434,119,185,0.643,NA,NA,603,62,NA,NA,NA,167,593
1970-71,24,SEA,NBA,C,61,NA,1276,263,597,0.441,139,188,0.739,NA,NA,468,42,NA,NA,NA,118,665
1971-72,25,SEA,NBA,C,58,NA,1780,322,751,0.429,154,214,0.72,NA,NA,654,124,NA,NA,NA,178,798
1972-73,26,HOU,NBA,C,48,NA,900,149,375,0.397,119,162,0.735,NA,NA,304,53,NA,NA,NA,108,417
1973-74,27,HOU,NBA,C,79,NA,2459,336,732,0.459,193,240,0.804,259,664,923,166,80,104,NA,227,865
1974-75,28,HOU,NBA,C,65,NA,1450,235,538,0.437,159,203,0.783,154,334,488,84,37,74,NA,128,629
1975-76,29,SEA,NBA,C,27,NA,223,35,75,0.467,16,29,0.552,30,46,76,16,8,15,NA,29,86
1976-77,30,BUF,NBA,C,22,NA,195,25,74,0.338,33,43,0.767,41,49,90,7,3,9,NA,21,83
1977-78,31,TOT,NBA,PF-C,16,NA,158,23,60,0.383,17,23,0.739,19,31,50,10,3,3,14,29,63
1977-78,31,BOS,NBA,C,2,NA,24,3,13,0.231,2,3,0.667,6,9,15,3,1,1,3,4,8
1977-78,31,HOU,NBA,PF,14,NA,134,20,47,0.426,15,20,0.75,13,22,35,7,2,2,11,25,55
Career,NA,,NBA,,505,NA,11023,1769,4138,0.428,1019,1400,0.728,503,1124,4065,601,131,205,14,1120,4557
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,HOU,NBA,,206,NA,4943,740,1692,0.437,486,625,0.778,426,1020,1750,310,119,180,11,488,1966
3 seasons,NA,SEA,NBA,,146,NA,3279,620,1423,0.436,309,431,0.717,30,46,1198,182,8,15,NA,325,1549
2 seasons,NA,MIL,NBA,,109,NA,2474,363,893,0.406,187,291,0.643,NA,NA,981,95,NA,NA,NA,265,913
1 season,NA,BUF,NBA,,22,NA,195,25,74,0.338,33,43,0.767,41,49,90,7,3,9,NA,21,83
1 season,NA,CIN,NBA,,20,NA,108,18,43,0.419,2,7,0.286,NA,NA,31,4,NA,NA,NA,17,38
1 season,NA,BOS,NBA,,2,NA,24,3,13,0.231,2,3,0.667,6,9,15,3,1,1,3,4,8
