Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,27,HOU,NBA,C,79,NA,2459,6.2,13.5,0.459,3.5,4.4,0.804,4.8,12.2,17,3.1,1.5,1.9,NA,4.2,15.9,NA,NA,96
1974-75,28,HOU,NBA,C,65,NA,1450,7.6,17.3,0.437,5.1,6.5,0.783,5,10.7,15.7,2.7,1.2,2.4,NA,4.1,20.2,NA,NA,96
1975-76,29,SEA,NBA,C,27,NA,223,7,15,0.467,3.2,5.8,0.552,6,9.2,15.2,3.2,1.6,3,NA,5.8,17.2,NA,NA,95
1976-77,30,BUF,NBA,C,22,NA,195,5.7,17,0.338,7.6,9.9,0.767,9.4,11.2,20.6,1.6,0.7,2.1,NA,4.8,19,NA,NA,99
1977-78,31,TOT,NBA,PF-C,16,NA,158,6.8,17.9,0.383,5.1,6.8,0.739,5.7,9.2,14.9,3,0.9,0.9,4.2,8.6,18.8,NA,93,104
1977-78,31,BOS,NBA,C,2,NA,24,5.7,24.5,0.231,3.8,5.7,0.667,11.3,17,28.3,5.7,1.9,1.9,5.7,7.6,15.1,NA,74,92
1977-78,31,HOU,NBA,PF,14,NA,134,7.1,16.6,0.426,5.3,7.1,0.75,4.6,7.8,12.4,2.5,0.7,0.7,3.9,8.8,19.4,NA,99,107
Career,NA,,NBA,,209,NA,4485,6.7,15.1,0.428,4.3,5.5,0.728,5.1,11.4,16.6,2.9,1.3,2.1,0.1,4.4,17.6,NA,93,96
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,HOU,NBA,,158,NA,4043,6.7,14.9,0.437,4.2,5.2,0.778,4.8,11.6,16.4,2.9,1.3,2,0.1,4.3,17.5,NA,99,96
3 seasons,NA,SEA,NBA,,27,NA,223,7,15,0.436,3.2,5.8,0.717,6,9.2,15.2,3.2,1.6,3,NA,5.8,17.2,NA,NA,95
1 season,NA,BUF,NBA,,22,NA,195,5.7,17,0.338,7.6,9.9,0.767,9.4,11.2,20.6,1.6,0.7,2.1,NA,4.8,19,NA,NA,99
1 season,NA,BOS,NBA,,2,NA,24,5.7,24.5,0.231,3.8,5.7,0.667,11.3,17,28.3,5.7,1.9,1.9,5.7,7.6,15.1,NA,74,92
2 seasons,NA,MIL,NBA,,0,NA,0,NA,NA,0.406,NA,NA,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CIN,NBA,,0,NA,0,NA,NA,0.419,NA,NA,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
