Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Zaid Abdul-Aziz,,6.5,3.7,2,1.9,1.8,1,0.6,0.3,0.1,-0.3
Jerome Whitehead,83.6,5.3,3.6,2.1,1.6,1.5,1.2,0.3,0.2,0.2,0.1
Mark Blount,82.2,6.5,2.8,2.8,1.9,1.7,1.7,0.7,0.7,-0.1,NA
Dan Gadzuric,82.0,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0
Dale Schlueter,81.5,6.3,4.4,3,2,1.6,1.2,1.1,1.1,0.1,0
Chris Kaman,81.0,6.1,3.6,2.9,2.4,2.1,1.6,0.8,0.7,0.6,0
Mikki Moore,78.9,5.7,4.6,2.8,2.6,2.2,1,0.6,0.1,0.1,0.1
Felton Spencer,77.9,5.6,4.7,2.4,2,2,1.3,1.1,0.9,0.5,0.3
Joel Przybilla,77.6,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.3,0.1,0.1
Rick Robey,76.3,5.5,3.7,3.1,1.9,1.4,0.9,-0.2,-0.6,NA,NA
Dean Garrett,75.7,6.2,2.9,2.2,1.9,1,-0.1,NA,NA,NA,NA
