Season,Team,Lg,Salary
1998-99,Los Angeles Lakers,NBA,"$628,500"
1999-00,Seattle SuperSonics,NBA,"$900,000"
2000-01,Seattle SuperSonics,NBA,"$990,000"
2001-02,Portland Trail Blazers,NBA,"$4,538,000"
2002-03,Portland Trail Blazers,NBA,"$4,991,800"
2003-04,Portland Trail Blazers,NBA,"$5,445,600"
2004-05,Portland Trail Blazers,NBA,"$5,899,400"
2005-06,Portland Trail Blazers,NBA,"$6,353,200"
2006-07,Milwaukee Bucks,NBA,"$6,807,000"
2007-08,Los Angeles Clippers,NBA,"$304,897"
Career,(may be incomplete),,"$36,858,397"
