Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
JaMychal Green,,5.8,2.9,2.6,2.6,0.4,NA,NA
Kyle Anderson,90.9,6.2,3.5,2.7,2.7,0.3,NA,NA
Jim Baechtold,90.3,6,3.2,2.6,2.1,0.9,NA,NA
Tom Boswell,89.4,5.6,3.7,2.7,2.4,0.6,0.2,NA
Monk Meineke,85.8,6.1,3.7,2.6,1.8,0.7,NA,NA
George Irvine,83.5,5.5,3.7,3.2,2.5,1.2,0,NA
Neil Johnson,81.7,6.3,2.5,2.2,1.9,0.2,-0.2,-0.3
Walt Budko,81.4,5.6,4,2.7,1.5,NA,NA,NA
Dave Meyers,80.4,5,3.9,2.4,2.2,NA,NA,NA
Randolph Mahaffey,78.7,5.7,4.7,3.7,2.6,NA,NA,NA
Robert Covington,78.4,6.1,4,3.1,2.5,2,0.1,NA
