Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
JaMychal Green,,5.8,2.9,2.6,2.6,0.4
Kyle Anderson,90.9,6.2,3.5,2.7,2.7,0.3
Jim Baechtold,90.3,6,3.2,2.6,2.1,0.9
Tom Boswell,90.0,5.6,3.7,2.7,2.4,0.2
Don Nelson,89.2,5.4,3.3,2.3,2.1,0.4
Scott May,88.5,5.4,3.1,2.4,2.2,-0.1
Earl Lloyd,86.6,5.2,3.6,2.9,2.4,0.6
Michael Kidd-Gilchrist,86.3,5.8,3.8,3.1,2.1,0.6
Monk Meineke,85.8,6.1,3.7,2.6,1.8,0.7
Maurice Harkless,84.7,4.2,2.9,2.8,2.4,0.3
James Bailey,84.1,4.9,2.9,2.3,2,1
