Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Etdrick Bohannon,,0.1,0.1,0,-0.1
Malcolm Thomas,34.8,0.2,0.1,0,-0.2
Jackie Robinson,22.8,0.2,0.1,0,NA
Alando Tucker,10.7,0.2,0.1,0,NA
Easy Parham,8.4,0.3,0.1,0,NA
Luke Jackson,-1.8,0.1,0.1,0,0
Jacky Dorsey,-4.3,0.2,0.2,-0.1,NA
Jordan Mickey,-10.3,0.3,0.1,0.1,NA
Ben Davis,-13.3,0.1,0.1,0,0
Joe Courtney,-13.8,0.4,0.1,0,-0.1
Doug Edwards,-13.9,0.2,0.1,0,NA
