,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,21,CHS,BAA,,13,,7,,,,,32
1947-48,22,CHS,BAA,,15,,13,,,,,40
1948-49,23,CHS,BAA,,13,,12,15,,,,35
1949-50,24,CHS,NBA,,14,,12,12,,,,35
1950-51,25,NYK,NBA,,10,,11,13,,,,27
1951-52,26,NYK,NBA,,12,,12,14,,,6,30
1952-53,27,NYK,NBA,,9,,10,12,,,6,26
1953-54,28,TOT,NBA,,10,,11,,,,6,28
1953-54,28,BLB,NBA,,9,,11,12,,,4,24
1953-54,28,MLH,NBA,,10,,8,13,,,4,28
1953-54,28,FTW,NBA,,8,,11,,,,6,21
1954-55,29,FTW,NBA,,8,,12,15,,,5,25
1955-56,30,FTW,NBA,,9,,11,13,,,6,21
Career,,,TOT,,15,,13,,,,,40
,,,NBA,,14,,12,,,,,35
,,,BAA,,15,,13,,,,,40
,,,,,,,,,,,,
4 Seasons,,CHS,BAA,,15,,13,,,,,40
3 Seasons,,NYK,NBA,,12,,12,14,,,,30
3 Seasons,,FTW,NBA,,9,,12,,,,6,25
1 Season,,BLB,NBA,,9,,11,12,,,4,24
1 Season,,MLH,NBA,,10,,8,13,,,4,28
