,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,21,CHS,BAA,,10,,8,11,,,5,21
1947-48,22,CHS,BAA,,12,,12,13,,,6,31
1948-49,23,CHS,BAA,,8,,8,10,,,2,22
1949-50,24,CHS,NBA,,12,,8,10,,,4,31
1950-51,25,NYK,NBA,,11,,13,16,,,6,28
1951-52,26,NYK,NBA,,9,,10,12,,,6,26
1953-54,28,TOT,NBA,,7,,8,9,,,3,15
1953-54,28,FTW,NBA,,7,,8,9,,,3,15
1954-55,29,FTW,NBA,,6,,4,5,,,5,13
Career,,,TOT,,12,,13,16,,,6,31
,,,NBA,,12,,13,16,,,6,31
,,,BAA,,12,,12,13,,,6,31
,,,,,,,,,,,,
2 Seasons,,NYK,NBA,,11,,13,16,,,6,28
4 Seasons,,CHS,BAA,,12,,12,13,,,6,31
2 Seasons,,FTW,NBA,,7,,8,9,,,5,15
