Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Max Zaslofsky,,10.2,9.6,9.4,8.4,3.7,2.7,1.7,1.7,0.6,0.3
Fat Lever,82.9,10.4,9.7,9.2,8.8,5.2,4.8,4.5,4.4,1.3,0
Jim Paxson,81.5,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.3,1.2,0.3
DeMar DeRozan,80.0,9.9,9.6,9,8.8,6.3,4.7,4,3.2,2.5,2.3
Rajon Rondo,79.7,9.9,9.6,7.2,6.6,4.9,4.6,3.2,2.4,1.6,1.1
Dale Ellis,79.0,10.8,9.3,9,6.4,6.4,4.8,3.2,2.4,1.6,1.5
Donnie Freeman,78.6,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,NA
Kemba Walker,78.1,9.9,8.6,8.1,7.4,5.1,4.8,4.5,0.3,NA,NA
Kyrie Irving,78.0,10.4,9.1,8.9,8.9,6.7,5.3,5,4.1,NA,NA
Gilbert Arenas,77.9,13.6,11.5,10.8,6.5,2.7,2.6,1.8,0.6,0.5,0.2
Paul Pressey,77.8,9.8,9.6,7.1,5.5,4.8,3.8,3.2,3,2,0.3
