Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Mike Jackson,,3.4,3.1,2.4,0.2,NA,NA
Dāvis Bertāns,89.2,4,3.1,2.3,NA,NA,NA
Walter Berry,88.6,3.4,2.4,2.3,NA,NA,NA
Mickey Davis,88.0,3.4,2.6,2.3,0.4,0.3,-0.1
Sam Williams,86.8,3.7,2.7,2.6,-0.1,NA,NA
Cal Christensen,86.2,3.2,2.9,1.7,0.4,0,NA
Don Collins,85.3,3.5,3.4,2.6,0.9,0,0
Solomon Hill,83.6,3.5,2.7,2.1,0.5,0.4,-0.1
Tyrone Nesby,82.5,3.1,2.9,1.3,0.3,NA,NA
Arnie Ferrin,81.8,2.6,2.6,2.4,NA,NA,NA
Justise Winslow,81.8,2.8,2.6,2.5,-0.1,NA,NA
