Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Mike Jackson,,3.4,3.1,2.4,0.2
Jahidi White,94.0,3.3,3.2,2.1,0.2
Jumaine Jones,93.8,3.3,2.9,2.3,0
Charles Jones,90.7,3.2,2.8,2.2,0
Lew Hitch,90.1,3.3,2.7,2.2,NA
Mickey Davis,90.0,3.4,2.6,2.3,-0.1
Dāvis Bertāns,89.2,4,3.1,2.3,NA
Maurice Harkless,89.2,2.9,2.8,2.4,0.3
Solomon Hill,88.8,3.5,2.7,2.1,0.4
Walter Berry,88.6,3.4,2.4,2.3,NA
Michael Kidd-Gilchrist,88.6,3.8,3.1,2.1,0.6
