,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,22,MIL,NBA,,7,,,,,,4,5,,,,,,,,18
1970-71,23,MIL,NBA,,1,8,,,,,3,7,,,4,8,,,5,5
1971-72,24,NYA,ABA,,1,,0,,,,0,0,,,,,,,,2
Career,,,TOT,,7,,,,,,4,7,,,,,,,,18
,,,NBA,,7,,,,,,4,7,,,,,,,,18
,,,ABA,,1,,0,,,,0,0,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,
2 Seasons,,MIL,NBA,,7,,,,,,4,7,,,,,,,,18
1 Season,,NYA,ABA,,1,,0,,,,0,0,,,,,,,,2
