,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,21,FLO,ABA,,10,,0,,,,8,11,,,,,,,,,22
1972-73,22,DNR,ABA,,2,,0,,,,3,3,,,,,,,,,7
1973-74,23,DNR,ABA,,3,7,0,0,3,7,0,0,2,4,6,0,0,0,0,2,6
Career,,,,,10,,0,,,,8,11,,,,,,,,,22
2 Seasons,,DNR,ABA,,3,,0,,,,3,3,,,,,,,,,7
1 Season,,FLO,ABA,,10,,0,,,,8,11,,,,,,,,,22
