Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Willie Long,,3.5,2.1,1.2,NA,NA,NA,NA
Don Boven,92.4,3.8,2.2,1.5,NA,NA,NA,NA
Willie Reed,88.7,3.6,1.5,1.2,NA,NA,NA,NA
Mike Sweetney,88.0,3.8,2.1,1.4,0.4,NA,NA,NA
Mike Farmer,84.8,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1
Trey Lyles,83.0,3.9,2.3,1.2,0.8,NA,NA,NA
Zeke Zawoluk,82.9,3.9,2.5,1.7,NA,NA,NA,NA
Walter Berry,82.0,3.4,2.4,2.3,NA,NA,NA,NA
Kelly Oubre,81.7,3.7,2.2,2,0.4,NA,NA,NA
Paul Graham,80.2,3.6,1.9,0.2,NA,NA,NA,NA
Tyrone Nesby,79.9,3.1,2.9,1.3,0.3,NA,NA,NA
