Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jim Seminoff,,5.4,4.5,3.6,3.4
Bob Donham,93.6,6.1,4.5,3.8,3.5
Darren Collison,93.4,5.6,4.3,3.8,2.9
Pooh Richardson,90.9,5.9,4.4,4.1,4
Odie Spears,90.7,5.6,5.2,3.3,3.1
Jason Richardson,90.6,5.7,5.2,3.7,2.9
Ricky Sobers,90.6,5.3,4.8,4.3,2.8
Johnny Davis,89.7,5.2,4.4,4.3,2.5
Mario Chalmers,89.2,5.2,4.3,2.9,2.7
Jameer Nelson,89.2,5.6,4.9,4,2.5
Belus Smawley,89.2,5.3,5,4.5,3
