Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Terry Duerod,,0.7,0.2,0.2,-0.2
Jermaine Jackson,81.7,0.6,0.2,0.2,-0.2
Connie Norman,80.1,0.8,0.2,0.2,NA
Archie Goodwin,73.7,0.7,0.2,0.2,0.1
Pace Mannion,65.6,0.9,0.4,0.2,-0.2
Paul Long,65.4,0.5,0.3,0.2,-0.2
Greg Graham,62.4,0.8,0.3,0.3,0.1
Corey Gaines,61.8,0.6,0.3,0.2,-0.1
Tom Ingelsby,57.0,0.7,0.1,0,NA
Othyus Jeffers,56.5,0.7,0.1,0.1,NA
Morlon Wiley,56.5,0.9,0.2,0.1,0.1
