Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Terry Duerod,,0.7,0.2,0.2,-0.2,NA
Connie Norman,80.1,0.8,0.2,0.2,NA,NA
Archie Goodwin,73.7,0.7,0.2,0.2,0.1,NA
Paul Long,65.4,0.5,0.3,0.2,-0.2,NA
Gus Bailey,57.0,0.5,0.2,0.2,0,0
Tom Ingelsby,57.0,0.7,0.1,0,NA,NA
Sam Jacobson,56.5,0.9,0.2,0,NA,NA
Othyus Jeffers,56.5,0.7,0.1,0.1,NA,NA
Lowes Moore,54.0,1.1,0.2,0.2,NA,NA
Acie Law,53.3,0.7,0.6,0.4,-0.1,NA
Kelvin Upshaw,53.2,1,0.3,0.3,NA,NA
