,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1979-80,23,DET,NBA,,13,,2,,,,5,6,,,,,,,,,28,
1980-81,24,TOT,NBA,,11,,2,,,,4,8,,,,,,,,,22,
1980-81,24,DAL,NBA,,11,19,2,2,11,19,4,8,,,5,7,,,,5,22,
1980-81,24,BOS,NBA,,5,,1,,,,3,3,,,,,,,,,12,
1981-82,25,BOS,NBA,,6,10,0,,6,,2,2,,,2,3,,,,,12,
1982-83,26,GSW,NBA,,4,6,0,,4,,0,0,,,1,2,,1,,4,8,
Career,,,,,13,,2,,,,5,8,,,,,,,,,28,
1 Season,,DET,NBA,,13,,2,,,,5,6,,,,,,,,,28,
2 Seasons,,BOS,NBA,,6,,1,,,,3,3,,,,,,,,,12,
1 Season,,DAL,NBA,,11,19,2,2,11,19,4,8,,,5,7,,,,5,22,
1 Season,,GSW,NBA,,4,6,0,,4,,0,0,,,1,2,,1,,4,8,
