Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Calvin Natt,,10.2,9.8,9.3,8.4,7.1,6.1,4.2,1.1,0.5,0.3,0
Larry Kenon,88.3,10,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2,NA
George Yardley,88.0,12.3,10,9,7.6,7.5,6.8,5.3,NA,NA,NA,NA
Paul George,85.2,11.9,10.8,9.2,9,8.9,7.1,6,2.4,0,NA,NA
Roger Brown,84.6,13.3,10.9,10,9.3,7.3,6.5,6.1,1.8,NA,NA,NA
Kenny Sears,84.5,13.3,10,8.8,8,6.2,4,3.7,1.8,NA,NA,NA
Nenê Hilário,83.8,10.8,9.6,9.3,6.1,5.3,5,4,3.2,2.7,0.3,-0.1
Bob Love,83.6,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1,1,0.6,0.2
Larry Johnson,83.4,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9,NA
Red Robbins,83.3,10.7,9.3,7,6.9,6.7,3.9,3.7,2.3,NA,NA,NA
Gerald Wallace,83.3,11.5,9.5,7.7,6.4,6.2,4.8,4.6,2.4,0.9,0.6,0.4
