,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1979-80,23,TOT,NBA,,11,19,0,2,11,19,5,8,3,8,11,2,2,1,4,5,27,22.4
1979-80,23,POR,NBA,,11,19,0,2,11,19,5,8,3,8,11,2,2,1,4,5,27,22.4
1980-81,24,POR,NBA,,7,14,0,0,7,14,3,7,,,10,1,1,1,3,3,17,
1982-83,26,POR,NBA,,12,20,1,2,12,20,12,17,6,10,11,4,3,1,4,3,26,18.9
1983-84,27,POR,NBA,,11,19,0,2,11,19,8,12,3,8,10,3,2,1,3,5,30,26.9
1984-85,28,DEN,NBA,,13,23,0,0,13,23,10,10,5,9,10,10,3,2,8,5,30,25.1
1985-86,29,DEN,NBA,,15,24,1,2,15,22,10,12,4,9,12,5,1,1,6,5,40,35.0
1989-90,33,IND,NBA,,1,3,0,0,1,3,0,0,1,1,1,1,0,0,2,3,2,-0.5
Career,,,,,15,24,1,2,15,23,12,17,,,12,10,3,2,8,5,40,
2 Seasons,,DEN,NBA,,15,24,1,2,15,23,10,12,5,9,12,10,3,2,8,5,40,35.0
4 Seasons,,POR,NBA,,12,20,1,2,12,20,12,17,,,11,4,3,1,4,5,30,
1 Season,,IND,NBA,,1,3,0,0,1,3,0,0,1,1,1,1,0,0,2,3,2,-0.5
